CO,error,beam,ref,CI,error,beam,ref
420.5,95.32176266467171,43.5,Kamenetzky et al. 2016,1220.0,247.0,43.5,Kamenetzky et al. 2016
755.0,201.71901868688533,43.5,Kamenetzky et al. 2016,1250.0,65.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,,,,
1740.0,310.0,43.5,Kamenetzky et al. 2016,,,,
2150.0,180.0,43.5,Kamenetzky et al. 2016,,,,
1800.0,105.0,43.5,Kamenetzky et al. 2016,,,,
868.0,65.0,43.5,Kamenetzky et al. 2016,,,,
388.0,119.5,43.5,Kamenetzky et al. 2016,,,,
400.0,143.0,43.5,Kamenetzky et al. 2016,,,,
546.0,122.0,43.5,Kamenetzky et al. 2016,,,,
509.0,154.0,43.5,Kamenetzky et al. 2016,,,,
nan,424.0,43.5,Kamenetzky et al. 2016,,,,
589.0,274.5,43.5,Kamenetzky et al. 2016,,,,
