CO,error,beam,ref,CI,error,beam,ref
1050.0,126.44034056511482,43.5,Kamenetzky et al. 2016,3270.0,290.0,43.5,Kamenetzky et al. 2016
5235.0,372.1791403343288,43.5,Kamenetzky et al. 2016,4110.0,100.0,43.5,Kamenetzky et al. 2016
5640.0,850.0,43.5,Kamenetzky et al. 2016,,,,
7570.0,400.0,43.5,Kamenetzky et al. 2016,,,,
7430.0,215.0,43.5,Kamenetzky et al. 2016,,,,
6680.0,115.0,43.5,Kamenetzky et al. 2016,,,,
4470.0,120.0,43.5,Kamenetzky et al. 2016,,,,
3430.0,165.0,43.5,Kamenetzky et al. 2016,,,,
2290.0,295.0,43.5,Kamenetzky et al. 2016,,,,
979.0,201.5,43.5,Kamenetzky et al. 2016,,,,
703.0,209.5,43.5,Kamenetzky et al. 2016,,,,
636.0,180.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
