CO,error,beam,ref,CI,error,beam,ref
1049.3333333333333,126.8713762481952,43.5,Kamenetzky et al. 2016,2820.0,320.0,43.5,Kamenetzky et al. 2016
4750.0,476.0,43.5,Kamenetzky et al. 2016,3870.0,105.0,43.5,Kamenetzky et al. 2016
5600.0,845.0,43.5,Kamenetzky et al. 2016,,,,
7450.0,395.0,43.5,Kamenetzky et al. 2016,,,,
6960.0,240.0,43.5,Kamenetzky et al. 2016,,,,
6610.0,150.0,43.5,Kamenetzky et al. 2016,,,,
4670.0,120.0,43.5,Kamenetzky et al. 2016,,,,
3820.0,230.0,43.5,Kamenetzky et al. 2016,,,,
2240.0,295.0,43.5,Kamenetzky et al. 2016,,,,
1260.0,215.0,43.5,Kamenetzky et al. 2016,,,,
1000.0,251.5,43.5,Kamenetzky et al. 2016,,,,
nan,1010.0,43.5,Kamenetzky et al. 2016,,,,
nan,1970.0,43.5,Kamenetzky et al. 2016,,,,
