CO,error,beam,ref,CI,error,beam,ref
1029.0,125.59340702795227,43.5,Kamenetzky et al. 2016,2630.0,315.0,43.5,Kamenetzky et al. 2016
4510.0,490.7380283817426,43.5,Kamenetzky et al. 2016,4590.0,95.0,43.5,Kamenetzky et al. 2016
5070.0,765.0,43.5,Kamenetzky et al. 2016,,,,
7700.0,390.0,43.5,Kamenetzky et al. 2016,,,,
8320.0,200.0,43.5,Kamenetzky et al. 2016,,,,
7530.0,125.0,43.5,Kamenetzky et al. 2016,,,,
5390.0,105.0,43.5,Kamenetzky et al. 2016,,,,
4360.0,195.0,43.5,Kamenetzky et al. 2016,,,,
2900.0,230.0,43.5,Kamenetzky et al. 2016,,,,
1810.0,180.0,43.5,Kamenetzky et al. 2016,,,,
1250.0,205.0,43.5,Kamenetzky et al. 2016,,,,
nan,960.0,43.5,Kamenetzky et al. 2016,,,,
nan,1510.0,43.5,Kamenetzky et al. 2016,,,,
