CO,error,beam,ref,CI,error,beam,ref
769.5,59.926016887492196,43.5,Kamenetzky et al. 2016,668.0,347.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,1470.0,115.0,43.5,Kamenetzky et al. 2016
6600.0,952.9690446179246,43.5,Kamenetzky et al. 2016,,,,
2350.0,415.0,43.5,Kamenetzky et al. 2016,,,,
2050.0,255.0,43.5,Kamenetzky et al. 2016,,,,
1790.0,160.0,43.5,Kamenetzky et al. 2016,,,,
1310.0,120.0,43.5,Kamenetzky et al. 2016,,,,
936.0,172.5,43.5,Kamenetzky et al. 2016,,,,
nan,1040.0,43.5,Kamenetzky et al. 2016,,,,
nan,1270.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,1090.0,43.5,Kamenetzky et al. 2016,,,,
nan,1290.0,43.5,Kamenetzky et al. 2016,,,,
