CO,error,beam,ref,CI,error,beam,ref
194.0,19.45,43.5,Kamenetzky et al. 2016,1000.0,315.5,43.5,Kamenetzky et al. 2016
627.0,48.25,43.5,Kamenetzky et al. 2016,741.0,86.5,43.5,Kamenetzky et al. 2016
834.0,137.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
761.0,273.5,43.5,Kamenetzky et al. 2016,,,,
498.0,115.5,43.5,Kamenetzky et al. 2016,,,,
218.0,89.5,43.5,Kamenetzky et al. 2016,,,,
296.0,123.5,43.5,Kamenetzky et al. 2016,,,,
nan,508.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,396.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,400.0,43.5,Kamenetzky et al. 2016,,,,
