CO,error,beam,ref,CI,error,beam,ref
736.5,129.23022334191023,43.5,Kamenetzky et al. 2016,2190.0,340.0,43.5,Kamenetzky et al. 2016
2316.0,980.3148170995887,43.5,Kamenetzky et al. 2016,1830.0,145.0,43.5,Kamenetzky et al. 2016
2282.0,746.1360279615388,43.5,Kamenetzky et al. 2016,,,,
2250.0,370.0,43.5,Kamenetzky et al. 2016,,,,
1960.0,330.0,43.5,Kamenetzky et al. 2016,,,,
1260.0,150.0,43.5,Kamenetzky et al. 2016,,,,
778.0,139.5,43.5,Kamenetzky et al. 2016,,,,
nan,963.0,43.5,Kamenetzky et al. 2016,,,,
nan,818.0,43.5,Kamenetzky et al. 2016,,,,
nan,1510.0,43.5,Kamenetzky et al. 2016,,,,
nan,968.0,43.5,Kamenetzky et al. 2016,,,,
nan,565.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
