CO,error,beam,ref,CI,error,beam,ref
0.0,3.72,43.5,Kamenetzky et al. 2016,534.0,209.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,nan,164.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,638.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,138.0,43.5,Kamenetzky et al. 2016,,,,
nan,153.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,766.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
482.0,202.5,43.5,Kamenetzky et al. 2016,,,,
nan,347.0,43.5,Kamenetzky et al. 2016,,,,
