CO,error,beam,ref,CI,error,beam,ref
195.0,15.6,43.5,Kamenetzky et al. 2016,1120.0,240.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,626.0,55.0,43.5,Kamenetzky et al. 2016
760.6666666666666,235.00069089732955,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
489.0,167.5,43.5,Kamenetzky et al. 2016,,,,
408.0,84.5,43.5,Kamenetzky et al. 2016,,,,
185.0,49.0,43.5,Kamenetzky et al. 2016,,,,
nan,290.0,43.5,Kamenetzky et al. 2016,,,,
nan,300.0,43.5,Kamenetzky et al. 2016,,,,
nan,277.0,43.5,Kamenetzky et al. 2016,,,,
nan,165.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,212.0,43.5,Kamenetzky et al. 2016,,,,
