NGC0023         ,   , 0 ,09, 53.36, +25, 55, 26.4, 10.9,   68,  5,  7, 1342247622, 1342234681  
NGC34           ,   , 0 ,11, 06.55, -12, 06, 26.3, 11.2,   85, 12,  0, 1342199253, 1342199383  
MCG-02-01-051   ,   , 0 ,18, 50.86, -10, 22, 37.5, 11.2,  120,  8,  4, 1342247617, 1342234694  
IC10-B11-1      ,   , 0 ,20, 27.70, +59, 16, 59.4,  7.5,    1,  8,  5, 1342246982, 1342201446  
IRAS 00188-0856 ,   , 0 ,21, 26.53, -08, 39, 27.1, 12.2,  591,  4,  5, 1342246259, 1342234693  
ESO350-IG038    , a , 0 ,36, 52.46, -33, 33, 17.4, 10.8,   87,  1,  8, 1342246978, 1342199386  
NGC205-copeak   ,   , 0 ,40, 24.10, +41, 41, 50.4,  6.1,    1,  1,  9, 1342212315, 1342188661  
IRAS 00397-1312 ,   , 0 ,42, 15.53, -12, 56, 02.8, 12.6, 1285,  0,  7, 1342246257, 1342234696  
NGC0232a        ,   , 0 ,42, 45.82, -23, 33, 41.7, 11.2,   95,  8,  4, 1342221707, 1342234699  
NGC253          ,   , 0 ,47, 33.12, -25, 17, 17.6, 10.3,    3, 12,  1, 1342210847, 1342199387  
I Zw 1          , a , 0 ,53, 34.94, +12, 41, 36.2, 11.4,  272,  2,  9, 1342238246, 1342238252  
MCG+12-02-001   ,   , 0 ,54, 03.61, +73, 05, 11.8, 11.2,   72, 11,  2, 1342213377, 1342199365  
NGC0317B        ,   , 0 ,57, 40.37, +43, 47, 32.4, 11.0,   80,  8,  4, 1342239358, 1342238255  
IRAS 01003-2238 ,   , 1 ,02, 49.90, -22, 21, 57.3, 11.9,  539,  1,  7, 1342246256, 1342234707  
3C 31           ,   , 1 ,07, 24.96, +32, 24, 45.2,     ,   75,  3,  5, 1342239344, 1342236245  
IC1623          ,   , 1 ,07, 47.00, -17, 30, 25.0, 11.4,   86, 11,  1, 1342212314, 1342199388  
MCG-03-04-014   , a , 1 ,10, 08.92, -16, 51, 11.1, 11.4,  152,  6,  6, 1342213442, 1342234709  
ESO244-G012     , a , 1 ,18, 08.26, -44, 27, 43.0, 11.1,   95,  5,  6, 1342221708, 1342234726  
CGCG436-030     , a , 1 ,20, 02.58, +14, 21, 42.5, 11.5,  138,  9,  3, 1342213443, 1342237499  
ESO353-G020     ,   , 1 ,34, 51.29, -36, 08, 15.0, 10.8,   66,  7,  5, 1342247615, 1342234721  
IRASF01417+1651 ,   , 1 ,44, 30.52, +17, 06, 08.9,     ,  120,  7,  5, 1342239343, 1342237555  
NGC0695         ,   , 1 ,51, 14.28, +22, 34, 55.2, 11.4,  143,  6,  5, 1342224767, 1342238266  
Mrk 1014        , a , 1 ,59, 50.21, +00, 23, 40.6, 12.3,  763,  1,  7, 1342238707, 1342237540  
NGC0828         ,   , 2 ,10, 09.50, +39, 11, 24.7, 11.1,   80,  4,  7, 1342239357, 1342239822  
NGC0877a        ,   , 2 ,18, 00.12, +14, 32, 34.2,     ,   57,  5,  7, 1342239342, 1342238267  
NGC891-1        ,   , 2 ,22, 33.41, +42, 20, 56.9, 10.2,   10,  7,  5, 1342213376, 1342189430  
UGC01845        ,   , 2 ,24, 07.89, +47, 58, 11.3, 10.9,   70,  5,  7, 1342240022, 1342239799  
NGC0958         ,   , 2 ,30, 42.80, -02, 56, 23.7, 10.9,   82,  3,  7, 1342239339, 1342238277  
0235+164        ,   , 2 ,38, 38.93, +16, 36, 59.3,     , 4278,  0,  1, 1342249452, 1342224149  
NGC1068         ,   , 2 ,42, 40.71, -00, 00, 47.8, 10.9,   16, 13,  0, 1342213445, 1342189425  
NGC1056         ,   , 2 ,42, 48.30, +28, 34, 27.1,  9.7,   24,  5,  8, 1342204024, 1342226630  
UGC02238        ,   , 2 ,46, 17.50, +13, 05, 44.9, 11.1,   93,  5,  5, 1342239340, 1342238270  
NGC1097         ,   , 2 ,46, 19.00, -30, 16, 30.0, 10.4,   16,  8,  5, 1342239337, 1342188586  
UGC02369        ,   , 2 ,54, 01.81, +14, 58, 14.3, 11.4,  142,  8,  3, 1342239341, 1342239831  
NGC1222         ,   , 3 ,08, 56.74, -02, 57, 18.5, 10.4,   35,  8,  5, 1342239354, 1342239262  
UGC02608        ,   , 3 ,15, 01.24, +42, 02, 09.2, 11.1,  104,  4,  5, 1342239356, 1342239819  
NGC1266         ,   , 3 ,16, 00.70, -02, 25, 38.0, 10.2,   31, 13,  0, 1342239353, 1342189424  
IRAS 03158+4227 , a , 3 ,19, 12.40, +42, 38, 28.0, 12.4,  623,  4,  4, 1342224764, 1342226656  
3C 84           ,   , 3 ,19, 48.16, +41, 30, 42.1, 10.8,   78, 11,  2, 1342249054, 1342203614  
NGC1365-SW      ,   , 3 ,33, 35.90, -36, 08, 35.0, 10.8,   21, 10,  2, 1342204021, 1342201432  
NGC1365-NE      ,   , 3 ,33, 36.60, -36, 08, 20.0, 10.8,   21, 10,  3, 1342204020, 1342201432  
NGC1377         ,   , 3 ,36, 39.10, -20, 54, 08.0,  9.7,   24, 12,  1, 1342239352, 1342189505  
NGC1482         ,   , 3 ,54, 38.90, -20, 30, 09.0, 10.5,   25, 12,  1, 1342248233, 1342189504  
IRAS 03521+0028 , a , 3 ,54, 42.19, +00, 37, 02.0, 12.3,  709,  2,  7, 1342238704, 1342239850  
UGC02982        ,   , 4 ,12, 22.53, +05, 32, 50.4, 10.9,   77,  3,  7, 1342240021, 1342239938  
ESO420-G013     , a , 4 ,13, 49.65, -32, 00, 24.1, 10.7,   49,  8,  5, 1342242590, 1342227719  
NGC1572         , a , 4 ,22, 42.81, -40, 36, 03.2, 11.0,   86,  6,  5, 1342242588, 1342227720  
IRAS04271+3849  ,   , 4 ,30, 33.10, +38, 55, 48.4, 10.9,   86,  6,  4, 1342227786, 1342229106  
NGC1614         ,   , 4 ,33, 59.85, -08, 34, 44.0, 11.3,   68, 12,  1, 1342192831, 1342203628  
UGC03094        ,   , 4 ,35, 33.75, +19, 10, 17.5, 11.1,  108,  4,  6, 1342227522, 1342239944  
MCG-05-12-006   , a , 4 ,52, 04.96, -32, 59, 25.9, 10.9,   78,  6,  4, 1342242589, 1342229237  
IRAS F05189-2524, a , 5 ,21, 01.47, -25, 21, 45.4, 11.8,  185, 10,  2, 1342192833, 1342203632  
IRAS05223+1908  ,   , 5 ,25, 16.65, +19, 10, 48.5,     ,  130,  2,  0, 1342228738, 1342229652  
MCG+08-11-002   ,   , 5 ,40, 43.65, +49, 41, 41.8, 11.2,   86,  9,  3, 1342230414, 1342229112  
NGC1961         ,   , 5 ,42, 04.37, +69, 22, 41.9, 10.7,   61,  9,  4, 1342228708, 1342227742  
UGC03351        ,   , 5 ,45, 48.00, +58, 42, 03.7, 11.1,   67,  6,  6, 1342230415, 1342229115  
IRAS05442+1732  ,   , 5 ,47, 11.15, +17, 33, 47.2, 11.0,   81,  5,  5, 1342230413, 1342229653  
IRAS 06035-7102 ,   , 6 ,02, 54.01, -71, 03, 10.2, 12.0,  353, 10,  2, 1342230420,             
UGC03410a       ,   , 6 ,14, 29.64, +80, 26, 59.4, 10.8,   61,  3,  8, 1342231072, 1342229131  
NGC2146-NW      ,   , 6 ,18, 36.70, +78, 21, 32.0, 10.8,   17, 12,  0, 1342219554, 1342191186  
NGC2146-nuc     ,   , 6 ,18, 38.60, +78, 21, 24.0, 10.8,   17, 11,  2, 1342204025, 1342191186  
NGC2146-SE      ,   , 6 ,18, 40.50, +78, 21, 16.0, 10.8,   17, 11,  2, 1342219555, 1342191186  
IRAS 06206-6315 , a , 6 ,21, 01.21, -63, 17, 23.5, 12.0,  411,  4,  5, 1342231038, 1342226638  
ESO255-IG007    , a , 6 ,27, 21.63, -47, 10, 36.3,     ,  166,  7,  4, 1342231084, 1342226643  
UGC03608        ,   , 6 ,57, 34.42, +46, 24, 10.7, 11.1,   97,  6,  6, 1342228744, 1342229649  
NGC2342b        ,   , 7 ,09, 12.09, +20, 36, 13.1, 10.8,   77,  5,  6, 1342228730, 1342230778  
NGC2342a        ,   , 7 ,09, 18.05, +20, 38, 10.0, 10.8,   77,  5,  5, 1342228729, 1342230778  
NGC2369         ,   , 7 ,16, 37.60, -62, 20, 35.9, 10.8,   43, 10,  3, 1342231083, 1342229670  
NGC2388a        ,   , 7 ,28, 53.43, +33, 49, 08.4, 11.0,   62,  7,  6, 1342231071, 1342229477  
MCG+02-20-003   ,   , 7 ,35, 43.44, +11, 42, 34.8, 10.8,   72,  7,  6, 1342228728, 1342229463  
IRAS 07598+6508 , a , 8 ,04, 30.45, +64, 59, 52.2, 12.1,  693,  0, 10, 1342253659, 1342229642  
B2 0827+24      ,   , 8 ,30, 52.09, +24, 10, 59.8,     , 5818,  0,  1, 1342253660, 1342230773  
IRAS 08311-2459 , a , 8 ,33, 20.60, -25, 09, 33.7, 12.2,  451,  9,  1, 1342230421, 1342230796  
He2-10          ,   , 8 ,36, 15.18, -26, 24, 33.9,  9.6,   10,  9,  3, 1342245083, 1342196888  
