source name,RA,Dec,redshift,Distance
NGC1068,02:42:40.55,-00:00:46.60,0.00379,10.1
IC1623AB,01:07:47.42,-17:30:25.00,0.02007,85.6
NGC0232A,00:42:45.82,-23:33:41.70,0.02264,88.4
ESO244,01:18:08.26,-44:27:42.90,0.021905,91.1
NGC1614,04:33:59.98,-08:34:43.70,0.01594,70.5
IRAS09022,09:04:12.72,-36:27:01.30,0.05964,280
IRAS08355,08:37:01.86,-49:54:30.00,0.0259,120
ESO339,19:57:37.59,-37:56:08.50,0.0192,66.4
NGC6926,20:33:06.08,-02:01:38.60,0.019847,83.8
NGC3110A,10:04:02.09,-06:28:28.60,0.01686,72.7
IRAS13120,13:15:06.28,-55:09:22.90,0.03076,143
UGC02238,02:46:17.50,13:05:44.00,0.02188,95
MCG-05-12-00,04:52:04.90,-32:59:26.00,0.01875,84.1
UGC03094,04:35:33.90,19:10:18.30,0.02471,107
NGC1572,04:22:42.80,-40:36:03.00,0.02038,67.7
NGC2342A,07:09:18.05,20:38:10.00,0.0176,81.2
NGC2342B,07:09:12.09,20:36:13.10,0.0176,81.2
MCG02-20,07:35:43.44,11:42:34.80,0.01625,75.8
IRASF18293,18:32:41.10,-34:11:27.80,0.01818,80.3
NGC0034,00:11:06.55,-12:06:27.80,0.01962,82.9
MRK331,23:51:26.72,20:35:09.50,0.01848,69.9
ESO353-G020,01:34:51.30,-36:08:14.00,0.01592,68
CGCG436,01:20:02.58,14:21:42.50,0.03123,137
NGC2623,08:38:24.13,25:45:16.70,0.01851,80.9
NGC5104,13:21:23.10,00:20:33.00,0.01861,75.2
CIRCINUS,14:13:09.90,-65:20:21.00,0.00145,4.21
NGC253,0:47:33.12,-25:17:17.6,nan,    3
MCG+12-02-001,0:54:03.61,+73:05:11.8,nan,   72
NGC891-1,2:22:33.41,+42:20:56.9,nan,   10
NGC1097,2:46:19.00,-30:16:30.0,nan,   16
NGC1266,3:16:00.70,-02:25:38.0,nan,   31
NGC1365-SW,3:33:35.90,-36:08:35.0,nan,   21
NGC1365-NE,3:33:36.60,-36:08:20.0,nan,   21
NGC1377,3:36:39.10,-20:54:08.0,nan,   24
NGC1482,3:54:38.90,-20:30:09.0,nan,   25
ESO420-G013,4:13:49.65,-32:00:24.1,nan,   49
MCG+08-11-002,5:40:43.65,+49:41:41.8,nan,   86
NGC1961,5:42:04.37,+69:22:41.9,nan,   61
NGC2146-NW,6:18:36.70,+78:21:32.0,nan,   17
NGC2146-nuc,6:18:38.60,+78:21:24.0,nan,   17
NGC2146-SE,6:18:40.50,+78:21:16.0,nan,   17
NGC2369,7:16:37.60,-62:20:35.9,nan,   43
NGC2798,9:17:22.90,+41:59:59.0,nan,   28
M81,9:55:33.17,+69:03:55.0,nan,    4
M82,9:55:52.22,+69:40:46.9,nan,    4
NGC3227,10:23:30.58,+19:51:54.2,nan,   18
NGC3256,10:27:51.27,-43:54:13.8,nan,   38
NGC3351,10:43:57.70,+11:42:14.0,nan,   13
NGC3521,11:05:48.60,-00:02:09.0,nan,   12
NGC3627,11:20:15.00,+12:59:30.0,nan,   12
Arp299-B,11:28:31.00,+58:33:41.0,nan,   49
Arp299-C,11:28:31.00,+58:33:50.0,nan,   49
Arp299-A,11:28:33.63,+58:33:47.0,nan,   49
ESO 320-G030,11:53:11.72,-39:07:48.9,nan,   45
