name,CO10,error,FWHM,ref,CO21,error,FWHM,ref,CO32,error,FWHM,ref,CO43,error,CO54,error,CO65,error,CO76,error,CO87,error,CO98,error,CO109,error,CO1110,error,CO1211,error,CO1312,error,CI10,error,CI21,error,APEX CI10,error,13CO10,error,beam,ref,13CO21,error,beam,ref,13CO32,error,beam,ref
NGC1068,2250,327,43.5,10,11400,1140,43.5,13,6492.44860041699,669.832990269811,20.8,this work,16708.0469385947,1156.10801725225,12123.5306212551,548.694273806808,9624.53560265202,230.814654724234,7514.89190416373,149.327211210407,6599.01383908489,235.212374462432,4266.21708863297,124.879057053245,3346.0154046341,96.7207577902046,2726.12610843539,85.5628072394718,2152.85176413763,76.2649916445517,1108.45032938132,78.4565568890591,10010,618,11002,164,3785.38490787728,84.670873175768,56,7,21,Krips et al. 2011,55,7,12,Krips et al. 2011,170,20,14,Krips et al. 2011
IC1623AB,398,79.6,43.5,2,1700,259,43.5,5,2950,457,43.5,5,2967.01526078228,146.027596727539,2410.92717475509,53.1041227919623,1380.79502668846,26.5537505132396,1054.65610133477,18.9686349160929,833.275286543045,29.8783967286351,333.492989692284,26.5613885595624,175.32708505945,23.9082388717432,nan,nan,130.646056348855,17.7147195049295,149.236346527814,20.4433351407965,1250,93,1183,19,1219.22166961576,83.842474639728,4,0.3,nan,Sliwa et al. 2013,12,2,nan,Sliwa et al. 2013,nan,nan,nan,nan
NGC0232A,175,35,43.5,16,471,118,43.5,1,1344.89299108253,153.809392903745,20.8,this work,1696.85697536577,232.901937795302,1128.64380169774,111.799621866285,878.481481682983,44.3677516001506,665.574880518755,26.6229952207502,479.258774485223,56.5791608767278,nan,nan,284.958525697969,42.6106206651169,nan,nan,nan,nan,nan,nan,1209,168,845,30,564.158433065568,88.811979629224,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ESO244,128,32,43.5,1,454,114,43.5,1,nan,nan,nan,not found,nan,nan,nan,nan,744.842502681679,44.3358632548618,338.249083864787,26.6038605286911,315.950417983592,53.2127019761839,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,390,34,355.686159449168,76.9841039160008,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NGC1614,192,47.9,43.5,1,851,213,43.5,1,1590,169,43.5,15,1593.18931166353,191.711576922168,1771.78545007736,68.7558532865843,1322.31206174187,35.2616549797833,1201.5207576375,22.6702029742925,922.480231304887,36.370188331017,634.892360560398,35.271797808911,518.5602616677,26.4571562075357,233.334766887006,28.8661567282894,189.66221968959,24.259121123087,nan,nan,nan,nan,911,23,530.999692731024,99.213522958016,6,0.4,nan,Ueda et al. 2021,16,0.5,nan,Kazimierz et al. 2014,nan,nan,nan,nan
IRAS09022,nan,nan,nan,no,153,17.3,nan,Pereira-Santaella et al. 2021,417.99409893307,137.737371223751,20.8,this work,nan,nan,832.978046013168,71.7133417097429,795.333163661305,36.7784121924302,744.82843200376,23.6453470477384,617.299861927343,24.1402180641978,524.24312615001,39.8547405845037,333.901842771633,24.8356742557413,275.988310883853,22.580861799588,197.820417024506,20.7021366653553,nan,nan,nan,nan,515,24,404.540261160104,52.1833670036328,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
IRAS08355,nan,nan,nan,no,95.019392144793,10.2639009820219,nan,2017.1.00395.S,nan,nan,nan,no,nan,nan,nan,nan,280.407886557875,48.9601071767719,408.248789585993,26.7078647392705,424.027043339744,43.4043430190289,nan,nan,416.77794577598,32.0598419827677,nan,nan,184.840629984817,31.1779375878005,429.707653580354,28.7842447374399,nan,nan,243,27,128.513206287384,64.8616282688872,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ESO339,nan,nan,nan,no,305.86154011295,31.2135962346273,nan,2019.2.00037.S,nan,nan,nan,no,nan,nan,nan,nan,nan,nan,246.381939655382,30.3239310345085,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,397,34,584.97721711532,147.260650861688,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NGC6926,nan,nan,nan,no,605.496060497,64.6714686307084,nan,2019.2.00037.S,nan,nan,nan,no,nan,nan,nan,nan,nan,nan,182.059086109206,30.343181018201,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,382,42,628.995327584952,216.744263715064,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NGC3110A,277,55.6,43.5,4,679,135.8,nan,Espada et al. 2018,1620,490,43.5,8,nan,nan,nan,nan,573.520784046858,83.8222684376178,363.051717171315,49.1632533669489,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,667,45,311.000577502392,127.155405318432,10.1,0.7,nan,Kawana et al. 2022,38,0.6,nan,Kawana et al. 2022,nan,nan,nan,nan
