NGC0023         , CI1-0  ,  ,257,68.1,557,798
NGC0023         , CI2-1  ,  ,382,309,457,          
NGC0023         , CO4-3  ,  ,312,71.5,610,1210
NGC0023         , CO5-4  ,  ,738,576,969,          
NGC0023         , CO6-5  ,  ,423,326,488,          
NGC0023         , CO7-6  ,  ,324,242,397,          
NGC0023         , CO8-7  ,  ,249,118,383,571
NGC0023         , CO9-8  ,  ,115,25.1,294,563
NGC0023         , CO10-9 ,  ,222,55.3,356,528
NGC0023         , CO12-11,  ,77.8,18.1,192,326
NGC0023         , CO13-12,  ,229,96.9,355,476
NGC0023         , NII    , X,2630,2460,2800,          
NGC34           , CI1-0  ,  ,496,336,645,          
NGC34           , CI2-1  ,  ,429,383,472,          
NGC34           , CO5-4  ,  ,787,692,877,          
NGC34           , CO6-5  ,  ,972,911,1040,          
NGC34           , CO7-6  ,  ,951,910,994,          
NGC34           , CO8-7  ,  ,860,785,925,          
NGC34           , CO9-8  ,  ,619,569,668,          
NGC34           , CO10-9 ,  ,461,419,502,          
NGC34           , CO11-10,  ,402,363,436,          
NGC34           , CO12-11,  ,268,236,295,          
NGC34           , CO13-12,  ,201,164,239,          
NGC34           , NII    , X,713,662,764,          
MCG-02-01-051   , CI1-0  ,  ,109,32.1,223,387
MCG-02-01-051   , CI2-1  ,  ,221,171,267,          
MCG-02-01-051   , CO5-4  ,  ,322,199,437,          
MCG-02-01-051   , CO6-5  ,  ,387,323,450,          
MCG-02-01-051   , CO7-6  ,  ,238,186,291,          
MCG-02-01-051   , CO8-7  ,  ,195,125,266,          
MCG-02-01-051   , CO9-8  ,  ,256,171,366,          
MCG-02-01-051   , CO10-9 ,  ,168,91.5,228,          
MCG-02-01-051   , CO11-10,  ,32.9,5.44,74.7,142
MCG-02-01-051   , CO12-11,  ,108,52.9,167,243
MCG-02-01-051   , CO13-12,  ,71.2,19,124,221
MCG-02-01-051   , NII    ,  ,559,510,612,          
IC10-B11-1      , CI1-0  ,  ,237,140,319,445
IC10-B11-1      , CI2-1  ,  ,588,540,642,          
IC10-B11-1      , CO4-3  ,  ,656,548,761,          
IC10-B11-1      , CO5-4  ,  ,815,729,897,          
IC10-B11-1      , CO6-5  ,  ,777,721,825,          
IC10-B11-1      , CO7-6  ,  ,594,540,647,          
IC10-B11-1      , CO8-7  ,  ,321,229,394,          
IC10-B11-1      , CO9-8  ,  ,302,167,419,          
IC10-B11-1      , CO10-9 ,  ,202,97.5,284,465
IC10-B11-1      , CO11-10,  ,130,41.5,232,414
IC10-B11-1      , CO12-11,  ,131,50.9,216,353
IC10-B11-1      , CO13-12,  ,131,46.5,242,372
IC10-B11-1      , NII    ,  ,1640,1540,1760,          
IRAS 00188-0856 , CI2-1  ,  ,92.1,40.3,133,          
IRAS 00188-0856 , CO5-4  ,  ,66.7,11,176,343
IRAS 00188-0856 , CO6-5  ,  ,40,5.67,99.2,203
IRAS 00188-0856 , CO7-6  ,  ,110,65.8,150,          
IRAS 00188-0856 , CO8-7  ,  ,104,71.7,144,          
IRAS 00188-0856 , CO10-9 ,  ,92.5,43.1,134,210
IRAS 00188-0856 , CO11-10,  ,28.3,5.79,66.1,109
IRAS 00188-0856 , CO12-11,  ,73.3,41.1,112,156
IRAS 00188-0856 , NII    ,  ,86.2,53.6,122,          
ESO350-IG038    , CI2-1  ,  ,100,34.7,193,300
ESO350-IG038    , CO5-4  ,  ,49.9,0.389,138,336
ESO350-IG038    , CO7-6  ,  ,115,41.5,214,307
ESO350-IG038    , CO9-8  ,  ,116,27.2,288,496
ESO350-IG038    , CO10-9 ,  ,82.4,10.6,210,419
ESO350-IG038    , CO11-10,  ,116,25.5,212,332
ESO350-IG038    , CO12-11,  ,41.5,5.44,102,191
ESO350-IG038    , CO13-12,  ,50.7,8.68,121,280
ESO350-IG038    , NII    ,  ,475,380,580,          
NGC205-copeak   , CI1-0  ,  ,222,108,347,491
NGC205-copeak   , CI2-1  ,  ,14.8,2.37,39.8,84.3
NGC205-copeak   , CO4-3  ,  ,235,102,353,554
NGC205-copeak   , CO6-5  ,  ,34.4,6.89,76.4,125
NGC205-copeak   , CO7-6  ,  ,33.8,14,58.7,111
NGC205-copeak   , CO8-7  ,  ,92.7,47,154,215
NGC205-copeak   , CO9-8  ,  ,79.2,24.4,175,326
NGC205-copeak   , CO10-9 ,  ,68.3,11.4,135,241
NGC205-copeak   , CO11-10,  ,155,84.6,239,354
NGC205-copeak   , CO13-12,  ,201,127,266,          
IRAS 00397-1312 , CI2-1  ,  ,50.6,14.9,94.4,163
IRAS 00397-1312 , CO5-4  ,  ,217,65.9,342,550
IRAS 00397-1312 , CO6-5  ,  ,112,30.7,204,363
IRAS 00397-1312 , CO8-7  ,  ,63.8,27.4,98.6,155
IRAS 00397-1312 , CO12-11,  ,90,52.3,128,184
IRAS 00397-1312 , CO13-12,  ,40.5,10.7,73.4,123
IRAS 00397-1312 , NII    ,  ,46.7,15.5,74.5,123
NGC0232a        , CI1-0  ,  ,791,448,1320,          
NGC0232a        , CI2-1  ,  ,813,741,877,          
NGC0232a        , CO5-4  ,  ,1050,839,1270,          
NGC0232a        , CO6-5  ,  ,834,733,932,          
NGC0232a        , CO7-6  ,  ,629,562,701,          
NGC0232a        , CO8-7  ,  ,460,370,541,          
NGC0232a        , CO9-8  ,  ,198,109,318,502
NGC0232a        , CO10-9 ,  ,240,163,330,          
NGC0232a        , CO11-10,  ,71.8,18.9,164,294
NGC0232a        , CO12-11,  ,49.6,8.86,101,177
NGC0232a        , CO13-12,  ,82.2,27.5,135,255
NGC0232a        , NII    , X,2150,2060,2240,          
NGC253          , CI1-0  ,  ,26000,24700,26900,          
NGC253          , CI2-1  ,  ,40000,39000,41100,          
NGC253          , CO4-3  ,  ,75300,73800,77200,          
NGC253          , CO5-4  ,  ,84400,83500,85300,          
NGC253          , CO6-5  ,  ,74400,73800,75000,          
NGC253          , CO7-6  ,  ,62700,61500,63700,          
NGC253          , CO8-7  ,  ,51500,49900,52700,          
NGC253          , CO9-8  ,  ,42300,40400,43700,          
NGC253          , CO10-9 ,  ,29700,27700,31300,          
NGC253          , CO11-10,  ,21900,19700,23700,          
NGC253          , CO12-11,  ,15900,14700,17200,          
NGC253          , CO13-12,  ,8920,6420,11700,17700
NGC253          , NII    ,  ,36100,33800,38000,          
I Zw 1          , CI1-0  ,  ,233,80,509,714
I Zw 1          , CI2-1  ,  ,94.2,53.7,135,205
