 IRAS 00188-0856  , 6.4 $\pm$ 0.5   , 5.4 $\pm$ 0.4   , 46.6 $\pm$ 4.4   , 9.8 $\pm$ 0.9   , 45.4 $\pm$ 1.2    , 4.2 $\pm$ 0.1  ,                  ,                 
 IRAS 01003-2238  , 3.5 $\pm$ 0.5   , 2.5 $\pm$ 0.4   , 9.6 $\pm$ 2.5    , 1.7 $\pm$ 0.4   , 21.2 $\pm$ 3.8    , 1.7 $\pm$ 0.3  ,                  ,                 
 IRAS F01572+0009 , 5.9 $\pm$ 0.8   , 8.1 $\pm$ 1.2   , 32.7 $\pm$ 2.2   , 11.2 $\pm$ 0.8  , 49.7 $\pm$ 3.9    , 7.5 $\pm$ 0.6  ,                  ,                 
 IRAS 03521+0028  ,                 ,                 , 47.8 $\pm$ 1.8   , 14.1 $\pm$ 0.5  , 73.1 $\pm$ 5.6    , 9.6 $\pm$ 0.7  ,                  ,                 
 IRAS F05024-1941 ,                 ,                 , 22.0 $\pm$ 1.6   , 10.7 $\pm$ 0.8  , 35.5 $\pm$ 2.6    , 7.7 $\pm$ 0.6  ,                  ,                 
 IRAS F05189-2524 , 42.0 $\pm$ 1.3  , 3.7 $\pm$ 0.1   , 133.6 $\pm$ 5.8  , 3.0 $\pm$ 0.1   , 167.0 $\pm$ 15.5  , 1.6 $\pm$ 0.2  , 134.4 $\pm$ 17.1 , 0.7 $\pm$ 0.1   
 IRAS 06035-7102  , 40.3 $\pm$ 1.9  , 12.7 $\pm$ 0.6  , 154.4 $\pm$ 6.7  , 12.1 $\pm$ 0.5  , 326.5 $\pm$ 14.8  , 11.4 $\pm$ 0.5 , 224.9 $\pm$ 17.4 , 3.9 $\pm$ 0.3   
 IRAS 06206-6315  ,                 ,                 , 81.6 $\pm$ 4.9   , 8.7 $\pm$ 0.5   , 115.0 $\pm$ 7.0   , 5.5 $\pm$ 0.3  ,                  ,                 
 IRAS 07251-0248  ,                 ,                 , 71.3 $\pm$ 1.0   , 6.8 $\pm$ 0.1   , 145.5 $\pm$ 12.4  , 6.2 $\pm$ 0.5  ,                  ,                 
 IRAS 08311-2459  ,                 ,                 , 136.7 $\pm$ 5.3  , 17.3 $\pm$ 0.7  , 247.4 $\pm$ 16.5  , 13.9 $\pm$ 0.9 ,                  ,                 
 IRAS 09022-3615  ,                 ,                 , 284.4 $\pm$ 7.9  , 12.5 $\pm$ 0.3  , 368.2 $\pm$ 40.3  , 7.2 $\pm$ 0.8  , 168.0 $\pm$ 16.3 , 1.6 $\pm$ 0.2   
 IRAS 10378+1109  ,                 ,                 , 46.7 $\pm$ 3.1   , 11.1 $\pm$ 0.7  , 89.0 $\pm$ 6.8    , 9.4 $\pm$ 0.7  ,                  ,                 
 IRAS 11095-0238  ,                 ,                 , 43.4 $\pm$ 2.9   , 6.2 $\pm$ 0.4   , 761.5$^{*}$       , 48.4$^{*}$     ,                  ,                 
 IRAS F12072-0444 , 6.6 $\pm$ 0.8   , 5.6 $\pm$ 0.7   , 49.3 $\pm$ 3.4   , 10.3 $\pm$ 0.7  , 45.2 $\pm$ 7.8    , 4.2 $\pm$ 0.7  ,                  ,                 
 IRAS F12112+0305 , 34.6 $\pm$ 1.1  , 9.2 $\pm$ 0.3   , 183.8 $\pm$ 9.0  , 12.2 $\pm$ 0.6  , 306.7 $\pm$ 19.6  , 9.0 $\pm$ 0.6  , 88.0 $\pm$ 12.2  , 1.3 $\pm$ 0.2   
 IRAS 13120-5453  , 263.8 $\pm$ 4.6 , 12.2 $\pm$ 0.2  , 838.3 $\pm$ 28.6 , 9.7 $\pm$ 0.3   , 1477.2 $\pm$ 55.2 , 7.6 $\pm$ 0.3  , 794.2 $\pm$ 42.8 , 2.0 $\pm$ 0.1   
 IRAS F13305-1739 ,                 ,                 , 11.4 $\pm$ 1.3   , 3.2 $\pm$ 0.4   ,                   ,                ,                  ,                 
 IRAS F13451+1232 , 11.8 $\pm$ 0.6  , 8.8 $\pm$ 0.5   , 29.2 $\pm$ 4.2   , 5.5 $\pm$ 0.8   , 80.1 $\pm$ 0.2    , 6.7 $\pm$ 0.02 ,                  ,                 
 IRAS F14348-1447 ,                 ,                 , 201.0 $\pm$ 6.4  , 17.3 $\pm$ 0.5  ,                   ,                , 115.4 $\pm$ 16.7 , 2.2 $\pm$ 0.3   
 IRAS F14378-3651 , 19.4 $\pm$ 1.0  , 4.4 $\pm$ 0.2   , 78.0 $\pm$ 1.6   , 4.5 $\pm$ 0.1   ,                   ,                , 68.5 $\pm$ 3.1   , 0.9 $\pm$ 0.01  
 IRAS F15462-0450 , 47.0 $\pm$ 2.8  , 23.8 $\pm$ 1.4  ,                  ,                 ,                   ,                ,                  ,                 
