Title: L'_CO_/L_FIR_ Relations with CO Rotational Ladders of Galaxies 
       Across the Herschel SPIRE Archive 
Authors: Kamenetzky J., Rangwala N., Glenn J., Maloney P.R., Conley A. 
Table: Line Fluxes and Uncertainty Ranges from SPIRE FTS
================================================================================
Byte-by-byte Description of file: apjaa22eat2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label  Explanations
--------------------------------------------------------------------------------
   1- 16 A16    ---       ID     Galaxy identifier
  18- 24 A7     ---       Line   Line identifier
  26- 26 A1     ---     f_Line   [X] Line is resolved? 
  28- 35 E8.2   Jy.km/s   Flux   Median line flux in Line
  37- 44 E8.2   Jy.km/s b_Flux   Lower 1{sigma} boundary for Flux
  46- 53 E8.2   Jy.km/s B_Flux   Upper 1{sigma} boundary for Flux
  55- 62 E8.2   Jy.km/s   UpLim  ? The 3{sigma} upper limit on the Line flux (1)
--------------------------------------------------------------------------------
Note (1): If blank the line is considered at least a 3{sigma} detection.
--------------------------------------------------------------------------------
NGC0023          CI1-0     2.57e+02 6.81e+01 5.57e+02 7.98e+02 
NGC0023          CI2-1     3.82e+02 3.09e+02 4.57e+02          
NGC0023          CO4-3     3.12e+02 7.15e+01 6.10e+02 1.21e+03 
NGC0023          CO5-4     7.38e+02 5.76e+02 9.69e+02          
NGC0023          CO6-5     4.23e+02 3.26e+02 4.88e+02          
NGC0023          CO7-6     3.24e+02 2.42e+02 3.97e+02          
NGC0023          CO8-7     2.49e+02 1.18e+02 3.83e+02 5.71e+02 
NGC0023          CO9-8     1.15e+02 2.51e+01 2.94e+02 5.63e+02 
NGC0023          CO10-9    2.22e+02 5.53e+01 3.56e+02 5.28e+02 
NGC0023          CO12-11   7.78e+01 1.81e+01 1.92e+02 3.26e+02 
NGC0023          CO13-12   2.29e+02 9.69e+01 3.55e+02 4.76e+02 
NGC0023          NII     X 2.63e+03 2.46e+03 2.80e+03          
NGC34            CI1-0     4.96e+02 3.36e+02 6.45e+02          
NGC34            CI2-1     4.29e+02 3.83e+02 4.72e+02          
NGC34            CO5-4     7.87e+02 6.92e+02 8.77e+02          
NGC34            CO6-5     9.72e+02 9.11e+02 1.04e+03          
NGC34            CO7-6     9.51e+02 9.10e+02 9.94e+02          
NGC34            CO8-7     8.60e+02 7.85e+02 9.25e+02          
NGC34            CO9-8     6.19e+02 5.69e+02 6.68e+02          
NGC34            CO10-9    4.61e+02 4.19e+02 5.02e+02          
NGC34            CO11-10   4.02e+02 3.63e+02 4.36e+02          
NGC34            CO12-11   2.68e+02 2.36e+02 2.95e+02          
NGC34            CO13-12   2.01e+02 1.64e+02 2.39e+02          
NGC34            NII     X 7.13e+02 6.62e+02 7.64e+02          
MCG-02-01-051    CI1-0     1.09e+02 3.21e+01 2.23e+02 3.87e+02 
MCG-02-01-051    CI2-1     2.21e+02 1.71e+02 2.67e+02          
MCG-02-01-051    CO5-4     3.22e+02 1.99e+02 4.37e+02          
MCG-02-01-051    CO6-5     3.87e+02 3.23e+02 4.50e+02          
MCG-02-01-051    CO7-6     2.38e+02 1.86e+02 2.91e+02          
MCG-02-01-051    CO8-7     1.95e+02 1.25e+02 2.66e+02          
MCG-02-01-051    CO9-8     2.56e+02 1.71e+02 3.66e+02          
MCG-02-01-051    CO10-9    1.68e+02 9.15e+01 2.28e+02          
MCG-02-01-051    CO11-10   3.29e+01 5.44e+00 7.47e+01 1.42e+02 
MCG-02-01-051    CO12-11   1.08e+02 5.29e+01 1.67e+02 2.43e+02 
MCG-02-01-051    CO13-12   7.12e+01 1.90e+01 1.24e+02 2.21e+02 
MCG-02-01-051    NII       5.59e+02 5.10e+02 6.12e+02          
IC10-B11-1       CI1-0     2.37e+02 1.40e+02 3.19e+02 4.45e+02 
IC10-B11-1       CI2-1     5.88e+02 5.40e+02 6.42e+02          
IC10-B11-1       CO4-3     6.56e+02 5.48e+02 7.61e+02          
IC10-B11-1       CO5-4     8.15e+02 7.29e+02 8.97e+02          
IC10-B11-1       CO6-5     7.77e+02 7.21e+02 8.25e+02          
IC10-B11-1       CO7-6     5.94e+02 5.40e+02 6.47e+02          
IC10-B11-1       CO8-7     3.21e+02 2.29e+02 3.94e+02          
IC10-B11-1       CO9-8     3.02e+02 1.67e+02 4.19e+02          
IC10-B11-1       CO10-9    2.02e+02 9.75e+01 2.84e+02 4.65e+02 
IC10-B11-1       CO11-10   1.30e+02 4.15e+01 2.32e+02 4.14e+02 
IC10-B11-1       CO12-11   1.31e+02 5.09e+01 2.16e+02 3.53e+02 
IC10-B11-1       CO13-12   1.31e+02 4.65e+01 2.42e+02 3.72e+02 
IC10-B11-1       NII       1.64e+03 1.54e+03 1.76e+03          
IRAS 00188-0856  CI2-1     9.21e+01 4.03e+01 1.33e+02          
IRAS 00188-0856  CO5-4     6.67e+01 1.10e+01 1.76e+02 3.43e+02 
IRAS 00188-0856  CO6-5     4.00e+01 5.67e+00 9.92e+01 2.03e+02 
IRAS 00188-0856  CO7-6     1.10e+02 6.58e+01 1.50e+02          
IRAS 00188-0856  CO8-7     1.04e+02 7.17e+01 1.44e+02          
IRAS 00188-0856  CO10-9    9.25e+01 4.31e+01 1.34e+02 2.10e+02 
IRAS 00188-0856  CO11-10   2.83e+01 5.79e+00 6.61e+01 1.09e+02 
IRAS 00188-0856  CO12-11   7.33e+01 4.11e+01 1.12e+02 1.56e+02 
IRAS 00188-0856  NII       8.62e+01 5.36e+01 1.22e+02          
ESO350-IG038     CI2-1     1.00e+02 3.47e+01 1.93e+02 3.00e+02 
ESO350-IG038     CO5-4     4.99e+01 3.89e-01 1.38e+02 3.36e+02 
ESO350-IG038     CO7-6     1.15e+02 4.15e+01 2.14e+02 3.07e+02 
ESO350-IG038     CO9-8     1.16e+02 2.72e+01 2.88e+02 4.96e+02 
ESO350-IG038     CO10-9    8.24e+01 1.06e+01 2.10e+02 4.19e+02 
ESO350-IG038     CO11-10   1.16e+02 2.55e+01 2.12e+02 3.32e+02 
ESO350-IG038     CO12-11   4.15e+01 5.44e+00 1.02e+02 1.91e+02 
ESO350-IG038     CO13-12   5.07e+01 8.68e+00 1.21e+02 2.80e+02 
ESO350-IG038     NII       4.75e+02 3.80e+02 5.80e+02          
NGC205-copeak    CI1-0     2.22e+02 1.08e+02 3.47e+02 4.91e+02 
NGC205-copeak    CI2-1     1.48e+01 2.37e+00 3.98e+01 8.43e+01 
NGC205-copeak    CO4-3     2.35e+02 1.02e+02 3.53e+02 5.54e+02 
NGC205-copeak    CO6-5     3.44e+01 6.89e+00 7.64e+01 1.25e+02 
NGC205-copeak    CO7-6     3.38e+01 1.40e+01 5.87e+01 1.11e+02 
